City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
355,kantagi,43.5264,68.5775,1.1,69,100,2.24,KZ,1704173217
356,llanes,43.4198,-4.7549,13.46,61,100,3.91,ES,1704173086
357,gryazovets,58.88,40.2525,-34.34,100,68,1.63,RU,1704173219
358,idaho falls,43.4666,-112.0341,-5.56,90,0,2.06,US,1704173220
359,luganville,-15.5333,167.1667,29.28,73,90,3.61,VU,1704173221
360,itoman,26.1247,127.6694,22.21,46,20,5.66,JP,1704173222
361,opuwo,-18.0607,13.84,19.74,34,76,0.74,NA,1704173223
362,jesup,31.6074,-81.8854,9.84,53,0,3.6,US,1704172949
363,namdrik,5.5994,168.1028,28.47,80,12,8.77,MH,1704173225
364,baiyin,36.5583,104.2081,-0.62,34,0,0.94,CN,1704173226
365,misratah,32.3754,15.0925,14.92,47,100,3.29,LY,1704173227
366,island harbour,50.724,-1.2758,12.22,93,100,4.02,GB,1704173228
367,lima,-12.0432,-77.0282,22.17,82,75,6.69,PE,1704172584
368,coronel dorrego,-38.7187,-61.2873,18.47,69,94,4.61,AR,1704173230
369,qarazhal,48.0078,70.7903,-1.08,91,90,12.82,KZ,1704173231
370,barranca,-10.75,-77.7667,21.29,82,93,3.58,PE,1704173232
371,flying fish cove,-10.4217,105.6791,29.82,74,100,4.12,CX,1704173233
372,howrah,22.5892,88.3103,16.0,82,0,2.57,IN,1704173135
373,thisted,56.9552,8.6949,4.0,96,100,10.78,DK,1704173235
374,langepas,61.2544,75.2124,-21.26,93,100,5.55,RU,1704173236
375,arrifes,37.7667,-25.7,17.18,94,75,5.66,PT,1704173237
376,hadibu,12.65,54.0333,25.26,65,56,5.38,YE,1704173239
377,bornu yassu,12.2774,12.5552,17.34,35,100,3.97,NG,1704173240
378,roccella ionica,38.322,16.4009,14.14,79,100,4.7,IT,1704173241
379,alesund,62.4723,6.1549,3.08,52,0,6.69,NO,1704173242
380,kiunga,-6.1219,141.2906,26.61,84,100,0.78,PG,1704173244
381,antonio enes,-16.2325,39.9086,27.35,81,98,3.75,MZ,1704173245
382,saint-philippe,-21.3585,55.7679,24.77,81,100,3.95,RE,1704173246
383,capri,40.5507,14.2426,12.22,79,0,2.57,IT,1704173247
384,barika,35.389,5.3658,8.49,80,23,2.26,DZ,1704173248
385,noumea,-22.2763,166.4572,36.99,59,48,7.53,NC,1704172950
386,chicoana,-25.1009,-65.5331,19.47,94,100,0.17,AR,1704173250
387,bovalino,38.149,16.174,15.19,79,100,3.34,IT,1704173251
388,ulaangom,49.9811,92.0667,-20.0,98,98,1.0,MN,1704173252
389,gonen,40.1049,27.654,4.98,89,87,2.67,TR,1704173253
390,talcahuano,-36.7167,-73.1167,14.82,88,0,1.03,CL,1704173109
391,policka,49.7146,16.2654,2.82,85,96,2.77,CZ,1704173255
392,christchurch,-43.5333,172.6333,21.62,57,99,5.14,NZ,1704172984
393,tromso,69.6496,18.957,-8.99,73,100,3.09,NO,1704173257
394,morfou,35.1981,32.9914,11.49,68,100,1.82,CY,1704173258
395,gamay,12.3854,125.2979,29.74,63,62,3.51,PH,1704173259
396,bereznik,62.8551,42.7072,-34.0,100,76,0.59,RU,1704173260
397,ar rutbah,33.0381,40.2848,10.35,72,100,2.96,IQ,1704173261
398,zwedru,6.0667,-8.1281,21.89,98,40,0.83,LR,1704173263
399,suva,-18.1416,178.4415,27.71,78,75,4.12,FJ,1704173264
400,saint john,45.2727,-66.0677,-5.0,73,100,3.09,CA,1704172677
401,tralee,52.2704,-9.7026,9.31,97,100,1.28,IE,1704173266
402,tottenham,-32.2333,147.35,34.01,28,75,4.79,AU,1704173267
